Key,City,Region,Longitude,Latitude
Algeria/Bou Hanifia el Hamamat,Bou Hanifia el Hamamat,Africa,-0.05037,35.314732
Algeria/Bou Ismaïl,Bou Ismaïl,Africa,2.69007,36.64262
Algeria/Bou Tlelis,Bou Tlelis,Africa,-0.8996,35.57272
Algeria/Boudjima,Boudjima,Africa,4.15187,36.802181
Algeria/Boudouaou,Boudouaou,Africa,3.40995,36.727348
Algeria/Boufarik,Boufarik,Africa,2.91214,36.57412
Algeria/Bougaa,Bougaa,Africa,5.08843,36.332932
Algeria/Bougara,Bougara,Africa,3.081,36.541779
Algeria/Bouinan,Bouinan,Africa,2.99194,36.53167
Algeria/Boukadir,Boukadir,Africa,1.12602,36.066292
Algeria/Boumahra Ahmed,Boumahra Ahmed,Africa,7.51389,36.458328
Algeria/Boumerdas,Boumerdas,Africa,3.47717,36.766392
Algeria/Bouïra,Bouïra,Africa,3.902,36.374889
Algeria/Boû Arfa,Boû Arfa,Africa,2.81464,36.462978
Algeria/Brezina,Brezina,Africa,1.26082,33.098919
Algeria/Chabet el Ameur,Chabet el Ameur,Africa,3.69474,36.637089
Algeria/Charef,Charef,Africa,2.79503,34.620979
Algeria/Cheaïbia,Cheaïbia,Africa,0.71707,35.713589
Algeria/Chebli,Chebli,Africa,3.00917,36.577221
Algeria/Chelghoum el Aïd,Chelghoum el Aïd,Africa,6.16651,36.162861
Algeria/Chemini,Chemini,Africa,4.61667,36.599998
Algeria/Cheraga,Cheraga,Africa,2.95924,36.76775
Algeria/Cheria,Cheria,Africa,7.75194,35.27306
Algeria/Chetouane,Chetouane,Africa,-1.29512,34.921291
Algeria/Chiffa,Chiffa,Africa,2.73873,36.462929
Algeria/Chlef,Chlef,Africa,1.33452,36.165249
Algeria/Chorfa,Chorfa,Africa,4.32636,36.365051
Algeria/Constantine,Constantine,Africa,6.616667,36.283333
Algeria/Dar Chioukh,Dar Chioukh,Africa,3.48543,34.896381
Algeria/Dar el Beïda,Dar el Beïda,Africa,3.2125,36.713329
Algeria/Debila,Debila,Africa,6.95,33.51667
Algeria/Dellys,Dellys,Africa,3.91311,36.91716
Algeria/Didouche Mourad,Didouche Mourad,Africa,6.63639,36.452499
Algeria/Djamaa,Djamaa,Africa,5.99306,33.533878
Algeria/Djanet,Djanet,Africa,9.466666,24.549999
Algeria/Djebilet Rosfa,Djebilet Rosfa,Africa,0.83496,34.86375
Algeria/Djidiouia,Djidiouia,Africa,0.82871,35.92989
Algeria/Douera,Douera,Africa,2.94444,36.669998
Algeria/Draa Ben Khedda,Draa Ben Khedda,Africa,3.96223,36.73436
Algeria/Draa el Mizan,Draa el Mizan,Africa,3.8334,36.536282
Algeria/Drean,Drean,Africa,7.75111,36.684818
Algeria/Ech Chettia,Ech Chettia,Africa,1.25538,36.195911
Algeria/El Abadia,El Abadia,Africa,1.68609,36.269508
Algeria/El Abiodh Sidi Cheikh,El Abiodh Sidi Cheikh,Africa,0.54839,32.893002
Algeria/El Achir,El Achir,Africa,4.62744,36.063862
Algeria/El Affroun,El Affroun,Africa,2.62528,36.4701
Algeria/El Amria,El Amria,Africa,-1.01577,35.524391
Algeria/El Aouinet,El Aouinet,Africa,7.88672,35.866909
Algeria/El Attaf,El Attaf,Africa,1.67187,36.22393
Algeria/El Bayadh,El Bayadh,Africa,1.01927,33.683182
Algeria/El Eulma,El Eulma,Africa,5.69016,36.152809
Algeria/El Golea,El Golea,Africa,2.866667,30.566668
Algeria/El Hadjar,El Hadjar,Africa,7.73684,36.803768
Algeria/El Hadjira,El Hadjira,Africa,5.51259,32.613361
Algeria/El Idrissia,El Idrissia,Africa,2.52749,34.445419
Algeria/El Kala,El Kala,Africa,8.44333,36.895561
Algeria/El Kerma,El Kerma,Africa,-0.533333,35.549999
Algeria/El Kseur,El Kseur,Africa,4.8555,36.67942
Algeria/El Malah,El Malah,Africa,-1.09238,35.39138
Algeria/El Oued,El Oued,Africa,6.86319,33.356079
Algeria/El Tarf,El Tarf,Africa,8.31377,36.7672
Algeria/Es Senia,Es Senia,Africa,-0.62397,35.647789
Algeria/Feraoun,Feraoun,Africa,4.85454,36.560398
Algeria/Freha,Freha,Africa,4.3155,36.752338
Algeria/Frenda,Frenda,Africa,1.04945,35.065441
Algeria/Ghardaia,Ghardaia,Africa,3.67347,32.49094
Algeria/Hadjout,Hadjout,Africa,2.41382,36.512569
Algeria/Hamaguir,Hamaguir,Africa,-3.05,30.9
Algeria/Hamma Bouziane,Hamma Bouziane,Africa,6.59603,36.412048
Algeria/Hammam Bou Hadjar,Hammam Bou Hadjar,Africa,-0.96778,35.378891
Algeria/Hammamet,Hammamet,Africa,7.95184,35.44862
Algeria/Hassi Messaoud,Hassi Messaoud,Africa,6.15,31.683332
Algeria/Hennaya,Hennaya,Africa,-1.36806,34.951389
Algeria/Héliopolis,Héliopolis,Africa,7.44278,36.503609
Algeria/I-n-Amguel,I-n-Amguel,Africa,5.15,23.799999
Algeria/I-n-Eker,I-n-Eker,Africa,5.116667,24.1
Algeria/I-n-Salah,I-n-Salah,Africa,2.516667,27.25
Algeria/Ighram,Ighram,Africa,4.50532,36.462952
Algeria/Illizi,Illizi,Africa,8.416667,26.5
Algeria/Isser,Isser,Africa,3.66924,36.71859
Algeria/Jijel,Jijel,Africa,5.783333,36.833332
Algeria/Kerkera,Kerkera,Africa,6.58556,36.929169
Algeria/Khemis el Khechna,Khemis el Khechna,Africa,3.3308,36.649971
Algeria/Khenchela,Khenchela,Africa,7.14333,35.435829
Algeria/Kolea,Kolea,Africa,2.76845,36.638882
Algeria/Ksar Chellala,Ksar Chellala,Africa,2.31889,35.212219
Algeria/Ksar el Boukhari,Ksar el Boukhari,Africa,2.74905,35.888889
Algeria/L'Arbaa Naït Irathen,L'Arbaa Naït Irathen,Africa,4.19864,36.631119
Algeria/Laghouat,Laghouat,Africa,2.933333,33.766666
Algeria/Lakhdaria,Lakhdaria,Africa,3.5933,36.564629
Algeria/Larbaâ,Larbaâ,Africa,3.15434,36.564709
Algeria/M'Sila,M'Sila,Africa,4.54194,35.70583
Algeria/Makouda,Makouda,Africa,4.06273,36.785671
Algeria/Mansourah,Mansourah,Africa,4.45192,36.08725
Algeria/Mansoûra,Mansoûra,Africa,-1.33935,34.86158
Algeria/Mascara,Mascara,Africa,0.14027,35.396641
Algeria/Mazouna,Mazouna,Africa,0.89865,36.122318
Algeria/Meftah,Meftah,Africa,3.22248,36.620399
Algeria/Megarine,Megarine,Africa,6.08695,33.191952
Algeria/Mehdia,Mehdia,Africa,1.75714,35.43058
Algeria/Mekla,Mekla,Africa,4.26378,36.681782
Algeria/Melouza,Melouza,Africa,4.18665,35.979988
Algeria/Meridja Tahtania,Meridja Tahtania,Africa,-2.95,31.566668
Algeria/Merouana,Merouana,Africa,5.91186,35.631062
Algeria/Mers el Kebir,Mers el Kebir,Africa,-0.7081,35.727901
Algeria/Meskiana,Meskiana,Africa,7.66606,35.630581
Algeria/Messaad,Messaad,Africa,3.50309,34.154289
Algeria/Metlili Chaamba,Metlili Chaamba,Africa,3.63333,32.26667
Algeria/Mila,Mila,Africa,6.26444,36.450279
Algeria/Mouzaïa,Mouzaïa,Africa,2.68991,36.466949
Algeria/Médéa,Médéa,Africa,2.75393,36.264172
Algeria/Naama,Naama,Africa,-0.31667,33.26667
Algeria/Naciria,Naciria,Africa,3.83163,36.74625
Algeria/Nedroma,Nedroma,Africa,-1.74799,35.013611
Algeria/Oran,Oran,Africa,0.6,35.633335
Algeria/Ouallene,Ouallene,Africa,1.233333,24.6
Algeria/Ouargla,Ouargla,Africa,5.4,31.916666
Algeria/Oued Rhiou,Oued Rhiou,Africa,0.91896,35.961239
Algeria/Oued Sly,Oued Sly,Africa,1.19949,36.101238
Algeria/Oued el Abtal,Oued el Abtal,Africa,0.68778,35.455952
Algeria/Oued el Alleug,Oued el Alleug,Africa,2.79028,36.555279
Algeria/Ouled Kouadria,Ouled Kouadria,Africa,3.4,36.75
Algeria/Ouled Mimoun,Ouled Mimoun,Africa,-1.03394,34.90472
Algeria/Ouled Moussa,Ouled Moussa,Africa,3.36661,36.683941
Algeria/Oum el Bouaghi,Oum el Bouaghi,Africa,7.11353,35.875408
Algeria/Oumache,Oumache,Africa,5.68092,34.692921
Algeria/Reggane,Reggane,Africa,0.283333,26.683332
Algeria/Reghaïa,Reghaïa,Africa,3.34018,36.73587
Algeria/Reguiba,Reguiba,Africa,6.70326,33.563911
Algeria/Relizane,Relizane,Africa,0.55599,35.737339
Algeria/Robbah,Robbah,Africa,6.90984,33.279659
Algeria/Rouachdia,Rouachdia,Africa,0.73055,35.7085
Algeria/Rouached,Rouached,Africa,6.04267,36.457741
Algeria/Rouiba,Rouiba,Africa,3.28079,36.738289
Algeria/Rouissat,Rouissat,Africa,5.35018,31.924271
Algeria/Râs el Aïoun,Râs el Aïoun,Africa,5.6453,35.67384
Algeria/Râs el Oued,Râs el Oued,Africa,5.03107,35.944099
Algeria/Salah Bey,Salah Bey,Africa,5.29053,35.8545
Algeria/Saoula,Saoula,Africa,3.02462,36.704559
Algeria/Sebdou,Sebdou,Africa,-1.33143,34.637032
Algeria/Seddouk,Seddouk,Africa,4.68611,36.547218
Algeria/Sedrata,Sedrata,Africa,7.53376,36.128681
Algeria/Sfizef,Sfizef,Africa,-0.24435,35.234638
Algeria/Sidi Abdelli,Sidi Abdelli,Africa,-1.13706,35.06937
Algeria/Sidi Akkacha,Sidi Akkacha,Africa,1.30258,36.464722
Algeria/Sidi Aïssa,Sidi Aïssa,Africa,3.77236,35.885479
Algeria/Sidi Harrat Benaissa,Sidi Harrat Benaissa,Africa,0.71658,35.70784
Algeria/Sidi Khaled,Sidi Khaled,Africa,4.98785,34.387001
Algeria/Sidi Moussa,Sidi Moussa,Africa,3.08783,36.606369
Algeria/Sidi Mérouane,Sidi Mérouane,Africa,6.26111,36.520561
Algeria/Sidi Okba,Sidi Okba,Africa,5.89833,34.745121
Algeria/Sidi ech Chahmi,Sidi ech Chahmi,Africa,-0.52168,35.659031
Algeria/Sig,Sig,Africa,-0.19369,35.52832
Algeria/Skikda,Skikda,Africa,6.95,36.933334
Algeria/Smala,Smala,Africa,0.75437,35.716518
Algeria/Sougueur,Sougueur,Africa,1.49612,35.18568
Algeria/Souk Ahras,Souk Ahras,Africa,7.95111,36.286388
Algeria/Souma,Souma,Africa,2.90528,36.51833
Algeria/Sour el Ghozlane,Sour el Ghozlane,Africa,3.69123,36.147659
Algeria/Sraoulia,Sraoulia,Africa,0.71285,35.71434
Algeria/Tadmaït,Tadmaït,Africa,3.90045,36.744129
Algeria/Tamalous,Tamalous,Africa,6.64018,36.837631
Algeria/Tamanrasset,Tamanrasset,Africa,5.516667,22.783333
Algeria/Tazoult-Lambese,Tazoult-Lambese,Africa,6.26074,35.481709
Algeria/Tebesbest,Tebesbest,Africa,6.08333,33.116669
Algeria/Telerghma,Telerghma,Africa,6.366667,36.116665
Algeria/Thenia,Thenia,Africa,3.55665,36.725441
Algeria/Theniet el Had,Theniet el Had,Africa,2.02806,35.871109
Algeria/Tiaret,Tiaret,Africa,1.31699,35.371029
Algeria/Timimoun,Timimoun,Africa,0.283333,29.233334
Algeria/Timizart,Timizart,Africa,4.26667,36.799999
Algeria/Tindouf,Tindouf,Africa,-8.166667,27.700001
Algeria/Tipasa,Tipasa,Africa,2.4475,36.589722
Algeria/Tirmitine,Tirmitine,Africa,3.98143,36.653931
Algeria/Tissemsilt,Tissemsilt,Africa,1.81081,35.60722
Algeria/Tizi Gheniff,Tizi Gheniff,Africa,3.77445,36.58839
Algeria/Tizi Ouzou,Tizi Ouzou,Africa,4.04591,36.711819
Algeria/Tizi Rached,Tizi Rached,Africa,4.19176,36.671761
Algeria/Tizi-n-Tleta,Tizi-n-Tleta,Africa,4.05712,36.545689
Algeria/Tlemcen,Tlemcen,Africa,-1.466667,35.016666
Algeria/Tolga,Tolga,Africa,5.37845,34.72224
Algeria/Touggourt,Touggourt,Africa,6.05796,33.10527
Algeria/Tébessa,Tébessa,Africa,8.12417,35.404171
Algeria/Zaouia Benameur,Zaouia Benameur,Africa,0.72939,35.710491
Algeria/Zaouia Sidi Moussa,Zaouia Sidi Moussa,Africa,6.833333,28.133333
Algeria/Zemoura,Zemoura,Africa,0.75509,35.722511
Algeria/Zeralda,Zeralda,Africa,2.84244,36.711689
Algeria/Zeribet el Oued,Zeribet el Oued,Africa,6.51109,34.682838
Algeria/el hed,el hed,Africa,4.77361,36.650002
American Samoa/Pago Pago,Pago Pago,Oceania,-170.71666,-14.334
Angola/Benguela,Benguela,Africa,13.40547,-12.57626
Angola/Cabinda,Cabinda,Africa,12.2,-5.583333
Angola/Caconda,Caconda,Africa,15.06667,-13.73333
Angola/Caluquembe,Caluquembe,Africa,14.68333,-13.78333
Angola/Camabatela,Camabatela,Africa,15.37495,-8.18812
Angola/Camacupa,Camacupa,Africa,17.48333,-12.01667
Angola/Carvalho,Carvalho,Africa,20.416666,-9.683333
Angola/Catabola,Catabola,Africa,17.283331,-12.15
Angola/Catumbela,Catumbela,Africa,13.54677,-12.43002
Angola/Caxito,Caxito,Africa,13.66425,-8.57848
Angola/Cazaji,Cazaji,Africa,20.701481,-11.06715
Angola/Caála,Caála,Africa,15.56056,-12.8525
Angola/Dundo,Dundo,Africa,20.833334,-7.366667
Angola/Lobito,Lobito,Africa,13.533334,-12.366667
Angola/Longonjo,Longonjo,Africa,15.25333,-12.90667
Angola/Luanda,Luanda,Africa,13.233334,-8.85
Angola/Luau,Luau,Africa,22.224661,-10.70727
Angola/Lucapa,Lucapa,Africa,20.744659,-8.41915
Angola/Lumeje,Lumeje,Africa,20.783331,-11.55
Angola/Luso,Luso,Africa,19.85,-11.75
Angola/Léua,Léua,Africa,20.450001,-11.65
Angola/Malange,Malange,Africa,16.333334,-9.516666
Angola/Mbanza Congo,Mbanza Congo,Africa,14.2401,-6.26703
Angola/Mocamedes,Mocamedes,Africa,12.15,-15.2
Angola/N'dalatando,N'dalatando,Africa,14.91162,-9.29782
Angola/Nova Lisboa,Nova Lisboa,Africa,15.75,-12.8
Angola/Nzeto,Nzeto,Africa,12.8666,-7.23116
Angola/Pereira De Ca,Pereira De Ca,Africa,15.666667,-17.049999
Angola/Quibala,Quibala,Africa,14.97995,-10.73366
Angola/Sa Da Bandeira,Sa Da Bandeira,Africa,13.566667,-14.916667
Angola/Serpa Pinto,Serpa Pinto,Africa,17.683332,-14.65
Angola/Silva Porto,Silva Porto,Africa,16.950001,-12.383333
Angola/Soyo,Soyo,Africa,12.36894,-6.1349
Angola/Sumbe,Sumbe,Africa,13.84371,-11.20605
Angola/Uíge,Uíge,Africa,15.06131,-7.60874
Angola/Waco-Kungo,Waco-Kungo,Africa,15.11719,-11.35669
Anguilla/Blowing Point Village,Blowing Point Village,Caribbean,-63.083328,18.16667
Anguilla/The Valley,The Valley,Caribbean,-63.116665,18.049999
